objectid,pcon18cd,pcon18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
285,E14000814,Mid Derbyshire,439737,341743,-1.40972996,52.97158813,90297371.6926832,67770.8264983834
286,E14000815,Mid Dorset and North Poole,391551,94607,-2.12111998,50.75099182,176176459.531672,94078.9723725791
287,E14000816,Mid Norfolk,597388,311524,0.91756898,52.66550064,763105462.238977,145431.111382453
288,E14000817,Mid Sussex,527731,126921,-0.17994,51.02746964,187061654.398287,116270.132267248
289,E14000818,Mid Worcestershire,393275,253990,-2.09977007,52.18412018,438098206.381191,187813.412978942
290,E14000819,Middlesbrough,450286,518464,-1.22394001,54.55892944,29118458.7792811,28300.2174116483
291,E14000820,Middlesbrough South and East Cleveland,465116,516429,-0.99510998,54.5389595,201573872.21224,86064.7608928596
292,E14000821,Milton Keynes North,486764,246259,-0.73449999,52.10786819,227920048.559304,69607.8370236043
293,E14000822,Milton Keynes South,486551,236093,-0.74019003,52.01652908,81634285.5786634,53981.1008974495
294,E14000823,Mitcham and Morden,528027,168563,-0.16087,51.40164948,16726710.9994229,22375.4704177371
295,E14000824,Mole Valley,514427,147482,-0.36305001,51.21508026,369451507.169818,107363.482946245
296,E14000825,Morecambe and Lunesdale,353509,468965,-2.7126801,54.11444855,257990734.785945,123360.958587812
297,E14000826,Morley and Outwood,431161,425385,-1.52923,53.72396088,67428600.9859924,50762.0132428237
298,E14000827,New Forest East,435181,105110,-1.50167,50.84444046,398070959.253162,99495.7951793217
299,E14000828,New Forest West,418339,108094,-1.74073005,50.87205124,357143770.730575,140623.64574891
300,E14000829,Newark,475944,357675,-0.86691999,53.11088181,698450329.137102,175582.222889453
301,E14000830,Newbury,447318,172095,-1.32050002,51.44586945,596160649.511231,130152.816906107
302,E14000831,Newcastle upon Tyne Central,422342,565906,-1.65240002,54.98725128,23818704.3863619,21245.7991485982
303,E14000832,Newcastle upon Tyne East,427215,565674,-1.57626998,54.98492813,19524685.8003906,19411.171324652
304,E14000833,Newcastle upon Tyne North,421039,569925,-1.67246997,55.02341843,71403432.9170974,46610.8483037361
305,E14000834,Newcastle-under-Lyme,380356,348791,-2.29438996,53.03604126,82254475.2509782,44988.8282269693
306,E14000835,Newton Abbot,288933,74357,-3.56936002,50.55836868,205402374.427393,77181.3429269339
307,E14000836,"Normanton, Pontefract and Castleford",447021,422148,-1.28936994,53.69367981,86511866.5900965,56903.0321412763
308,E14000837,North Cornwall,212024,78838,-4.65642023,50.57894135,1205245414.97696,254107.63553801
309,E14000838,North Devon,265110,132524,-3.92690992,51.07612991,1091783945.36511,195759.406338694
310,E14000839,North Dorset,390177,113279,-2.14109993,50.91886902,881973698.082197,179628.784150348
311,E14000840,North Durham,423154,551799,-1.64084005,54.86045074,105154976.590135,55587.0711849909
312,E14000841,North East Bedfordshire,509132,258803,-0.40399,52.2166481,537411698.921667,164622.198675846
313,E14000842,North East Cambridgeshire,537559,293443,0.02604,52.52151871,729573881.465319,166752.972068544
314,E14000843,North East Derbyshire,437369,365923,-1.44219005,53.1891098,228062506.850914,119122.280750659
315,E14000844,North East Hampshire,477217,151423,-0.89482999,51.2567482,402314266.489845,135471.800540568
316,E14000845,North East Hertfordshire,533034,227739,-0.06642,51.93227005,503368776.575721,136161.916694736
317,E14000846,North East Somerset,364116,161999,-2.51671004,51.35591125,320894079.08486,131643.821973475
318,E14000847,North Herefordshire,348792,251361,-2.74995995,52.15813828,1456985235.57625,286557.630697333
319,E14000848,North Norfolk,623495,330845,1.31613004,52.82878113,724596949.318338,200806.15162947
320,E14000849,North Shropshire,349128,330083,-2.75711012,52.86582184,933132076.433912,218838.367514249
321,E14000850,North Somerset,347308,169216,-2.75915003,51.41949081,230275042.964343,84213.1309916322
322,E14000851,North Swindon,417320,190622,-1.75124002,51.61415863,103431359.458031,50493.4277575231
323,E14000852,North Thanet,625041,165662,1.23007703,51.34545898,138533889.397777,66476.9158383669
324,E14000853,North Tyneside,429481,568918,-1.54052997,55.01395035,45503137.4800346,39325.3930887188
325,E14000854,North Warwickshire,424687,296012,-1.63724995,52.56140137,266578560.905717,117094.747400181
326,E14000855,North West Cambridgeshire,522387,289492,-0.1989,52.48963928,748810829.050484,197123.359413993
327,E14000856,North West Durham,404359,544374,-1.93373001,54.79423904,701159270.697454,166293.465047121
328,E14000857,North West Hampshire,446060,151304,-1.34129,51.25904083,588178823.381129,139435.168973203
329,E14000858,North West Leicestershire,439111,316252,-1.42209005,52.74250031,278883899.005295,95528.4961816884
330,E14000859,North West Norfolk,574445,328868,0.58789599,52.82912064,782987037.867933,181519.117940077
331,E14000860,North Wiltshire,396155,182656,-2.05682993,51.54278183,714183575.482269,175935.096250687
332,E14000861,Northampton North,477324,263094,-0.86848003,52.26060104,22063919.2049366,22053.9579533891
333,E14000862,Northampton South,480096,261363,-0.82828999,52.24464035,32245108.163901,35698.8139593856
334,E14000863,Norwich North,623503,311330,1.30297005,52.6536293,36060062.7197787,30309.6669738174
335,E14000864,Norwich South,621219,308012,1.26703894,52.62479019,28913814.8648733,26490.1891479645
336,E14000865,Nottingham East,458309,341526,-1.13325,52.96794891,18036183.5481604,20068.963717579
337,E14000866,Nottingham North,454115,344384,-1.19520998,52.99406815,24340319.2223776,29941.7735268484
338,E14000867,Nottingham South,454681,339273,-1.18763995,52.94807816,33235638.552391,33805.3581721079
339,E14000868,Nuneaton,431696,292172,-1.53422999,52.52651978,80732364.3117738,48309.997469415
340,E14000869,Old Bexley and Sidcup,548002,173628,0.128198,51.44231033,23608307.5430772,24257.2609170235
341,E14000870,Oldham East and Saddleworth,398906,408181,-2.01799011,53.57025146,103998810.409491,49727.7034884606
342,E14000871,Oldham West and Royton,390878,405957,-2.13913989,53.55017853,30517172.7439317,27642.2130277165
343,E14000872,Orpington,544861,162534,0.078513,51.34342957,79470189.6762446,49377.6891255269
344,E14000873,Oxford East,453747,205162,-1.22293997,51.74259186,31381848.1408178,25743.4514043486
345,E14000874,Oxford West and Abingdon,447995,207687,-1.30589998,51.76580811,127142128.613932,68350.0727871869
346,E14000875,Pendle,387637,443368,-2.18956995,53.88636017,166912809.701314,66104.8783597424
347,E14000876,Penistone and Stocksbridge,423088,401791,-1.65330994,53.51231003,294345609.186453,87849.1080224167
348,E14000877,Penrith and The Border,356508,545631,-2.67810988,54.80366135,3123382006.14839,401533.46826794
349,E14000878,Peterborough,524756,303751,-0.15866999,52.61722183,172968025.923088,60680.8825387336
350,E14000879,"Plymouth, Moor View",248137,59475,-4.13888979,50.41543961,32607999.7030687,27707.3611721259
351,E14000880,"Plymouth, Sutton and Devonport",247633,55529,-4.14438009,50.37984848,21198382.8023348,22831.962316204
352,E14000881,Poole,403952,91153,-1.94536996,50.7199707,31813787.4882754,41494.0916148657
353,E14000882,Poplar and Limehouse,537808,180645,-0.01564,51.50793839,10525248.7170159,19398.5671687982
354,E14000883,Portsmouth North,466075,105233,-1.06289005,50.84283829,26329473.8693018,37684.1133843246
355,E14000884,Portsmouth South,465420,99877,-1.07314003,50.79476166,12738185.4732689,17831.1559387924
356,E14000885,Preston,354517,430860,-2.69157004,53.77209091,27784572.9612376,28856.2375760773
357,E14000886,Pudsey,422501,438013,-1.65954995,53.83789825,54347264.6523279,53230.1031166828
358,E14000887,Putney,523535,174102,-0.22348,51.45243073,13718235.3908153,16711.5282266838
359,E14000888,Rayleigh and Wickford,584214,192879,0.65875798,51.60461044,113962952.100514,67415.8399490404
360,E14000889,Reading East,473252,173539,-0.94709003,51.45610046,27156637.9383858,35170.2231390074
361,E14000890,Reading West,467724,172897,-1.02675998,51.45101166,50108080.6913995,39584.6468564433
362,E14000891,Redcar,458878,521567,-1.09047997,54.58589172,75068334.107389,49011.9087235487
363,E14000892,Redditch,401238,258510,-1.98327994,52.22480011,149367983.026127,74818.2478911598
364,E14000893,Reigate,525733,152598,-0.19946,51.25867844,112671948.359019,57288.1501148468
365,E14000894,Ribble Valley,369878,446287,-2.46003008,53.91186142,634927808.682006,153926.089590258
366,E14000895,Richmond (Yorks),412781,495786,-1.80483997,54.35744858,2078915108.4669,322253.650968374
367,E14000896,Richmond Park,519834,173049,-0.27708,51.44375992,38810330.2406325,32560.2447793134
368,E14000897,Rochdale,392416,415285,-2.11615992,53.63404083,85524931.4155892,47046.3751630329
369,E14000898,Rochester and Strood,578207,175194,0.56317198,51.44768906,148181323.018321,97836.7757555243
370,E14000899,Rochford and Southend East,591941,188292,0.767699,51.56084061,90092411.446087,87338.8814419592
371,E14000900,Romford,551408,190670,0.184484,51.5945282,30737362.4826326,27512.2989905661
372,E14000901,Romsey and Southampton North,436034,128163,-1.48728001,51.05168152,421999296.742085,131552.839367145
373,E14000902,Rossendale and Darwen,372446,420955,-2.41865993,53.68432999,217164734.400471,104467.771363411
374,E14000903,Rother Valley,449699,386114,-1.25452995,53.36957932,167610475.690764,59687.1266900831
375,E14000904,Rotherham,442371,392231,-1.36382997,53.42518997,46184154.5811001,41841.9501071067
376,E14000905,Rugby,446258,281329,-1.3211,52.42800903,245282454.302945,74923.8773070263
377,E14000906,"Ruislip, Northwood and Pinner",508439,189155,-0.43601999,51.59082031,48392444.3765808,35582.5092348699
378,E14000907,Runnymede and Weybridge,503012,166624,-0.52091002,51.38930893,96112701.2351683,47242.7594629476
379,E14000908,Rushcliffe,462332,332669,-1.07505,52.88788986,311219231.580398,94760.4076632468
380,E14000909,Rutland and Melton,484648,311819,-0.74884999,52.69746017,1118734846.64157,186640.399726767
381,E14000910,Saffron Walden,559857,226819,0.32296699,51.91696167,798464397.646833,162309.425092903
382,E14000911,Salford and Eccles,379701,400390,-2.30747008,53.49982071,32513301.6451918,29097.5039310833
383,E14000912,Salisbury,412884,132088,-1.81740999,51.08795166,612459056.067036,158236.958234887
384,E14000913,Scarborough and Whitby,485778,506118,-0.67883003,54.44324875,732060132.314756,174848.199792013
385,E14000914,Scunthorpe,494110,405551,-0.58143002,53.53820038,180594193.944783,76820.9809299376
386,E14000915,Sedgefield,431052,526108,-1.52052999,54.62916183,365760844.171887,151956.110866818
387,E14000916,Sefton Central,331658,404014,-3.03242993,53.52833176,81043477.6636374,61395.4763578693
388,E14000917,Selby and Ainsty,449167,442159,-1.25370002,53.87332916,849579289.60268,224441.382859054
389,E14000918,Sevenoaks,552010,159916,0.17996199,51.31803894,247580121.708928,83083.3301904633
390,E14000919,Sheffield Central,435726,386662,-1.46445,53.37562943,20033168.572652,26465.038516006
391,E14000920,Sheffield South East,440551,388350,-1.39172006,53.39044952,45933038.2089444,42341.8996115074
392,E14000921,"Sheffield, Brightside and Hillsborough",435434,390928,-1.46836996,53.41399002,26127371.8286004,23329.7419514319
393,E14000922,"Sheffield, Hallam",426415,388888,-1.60422003,53.3961792,135919418.460344,64591.5652843241
394,E14000923,"Sheffield, Heeley",436622,384071,-1.45128,53.35227966,23984137.8018267,24375.7111545914
395,E14000924,Sherwood,460406,358481,-1.09886003,53.12010956,305960502.436515,109277.642993537
396,E14000925,Shipley,412611,439633,-1.80976999,53.85279083,93809482.8805181,66705.5567413474
397,E14000926,Shrewsbury and Atcham,346360,307551,-2.79452991,52.66302109,602866957.372002,132317.012740806
398,E14000927,Sittingbourne and Sheppey,587151,164862,0.68629003,51.35200882,235707588.42736,130530.549888434
399,E14000928,Skipton and Ripon,398261,462236,-2.02805996,54.05607986,2094577573.76021,290935.897002265
400,E14000929,Sleaford and North Hykeham,503640,352930,-0.45484,53.063591,1120416113.06021,185965.044163686
401,E14000930,Slough,496543,180461,-0.61008,51.51483154,26681529.3844102,27735.9507199837
402,E14000931,Solihull,413056,280069,-1.80944002,52.41846848,34739931.7766413,24994.80579649
403,E14000932,Somerton and Frome,364633,137241,-2.50682998,51.1333313,950820091.1589,211462.888663234
404,E14000933,South Basildon and East Thurrock,568418,183317,0.426314,51.52365112,128334226.398907,67050.836669908
405,E14000934,South Cambridgeshire,537837,254678,0.014247,52.17316055,629035798.648317,183562.828400536
406,E14000935,South Derbyshire,431434,325365,-1.53494,52.82492065,336766772.762005,130230.075764875
407,E14000936,South Dorset,385852,85482,-2.20155001,50.66881943,372826789.603073,175085.291892521
408,E14000937,South East Cambridgeshire,553959,267334,0.25557199,52.2826004,749597104.508179,206768.864993428
409,E14000938,South East Cornwall,226464,62949,-4.44528008,50.44065094,728487953.438721,182059.360053158
410,E14000939,South Holland and The Deepings,532910,322822,-0.03061,52.78662872,784595096.88852,161315.969394681
411,E14000940,South Leicestershire,454415,290699,-1.19962001,52.51148987,284435638.010113,84095.4135972467
412,E14000941,South Norfolk,629990,295823,1.38794196,52.51176071,794829172.842358,181317.085893439
413,E14000942,South Northamptonshire,463454,246589,-1.07474995,52.11399841,605585111.44583,191734.75076933
414,E14000943,South Ribble,350238,421361,-2.75495005,53.68632889,197275103.694529,82282.981203645
415,E14000944,South Shields,437206,564561,-1.42030001,54.97428131,25239004.3966565,28360.5290926592
416,E14000945,South Staffordshire,389625,306836,-2.15480995,52.65916061,278336674.887302,127886.284529549
417,E14000946,South Suffolk,599988,244681,0.91615701,52.06439972,651326258.114132,164551.864467683
418,E14000947,South Swindon,419067,181604,-1.72650003,51.53302002,124327235.398758,61419.6097431
419,E14000948,South Thanet,628499,158405,1.27499902,51.27893829,128353703.8913,78827.6225529815
420,E14000949,South West Bedfordshire,498229,221850,-0.57413,51.88656998,122993249.06073,60180.390723356
421,E14000950,South West Devon,258135,56608,-3.99717999,50.39216995,374233601.058744,114328.336415266
422,E14000951,South West Hertfordshire,499430,208327,-0.56057,51.76480865,173363089.693959,102742.670428547
423,E14000952,South West Norfolk,575310,297872,0.58423197,52.55046844,1307456760.87388,232059.721948036
424,E14000953,South West Surrey,492268,140635,-0.68197,51.15753174,257916722.033006,83340.7187062877
425,E14000954,South West Wiltshire,391047,139812,-2.12939,51.15747833,737950963.988194,150197.205327324
426,E14000955,"Southampton, Itchen",445458,112143,-1.35483003,50.90695953,20933661.5537155,26851.3529718854
427,E14000956,"Southampton, Test",440222,114130,-1.42908001,50.92522049,22747191.0391823,24558.4512326597
428,E14000957,Southend West,585151,187494,0.669438,51.55593872,20449506.2621716,19475.0604147469
429,E14000958,Southport,333085,415912,-3.01345992,53.63544083,45220850.8832011,39588.8161082367
430,E14000959,Spelthorne,507012,169622,-0.46254,51.41551971,52207022.739623,34687.3712760326
431,E14000960,St Albans,514325,205423,-0.34577999,51.73587036,66725009.0129228,51595.0224824501
432,E14000961,St Austell and Newquay,195455,57854,-4.87867022,50.38489914,395937920.02636,149306.017281293
433,E14000962,St Helens North,351263,398699,-2.73588991,53.48274994,84506011.1157586,51587.6208493091
434,E14000963,St Helens South and Whiston,351222,392412,-2.7355299,53.42623901,62702442.1820453,42505.4141525534
435,E14000964,St Ives,141322,26416,-5.61725998,50.0814209,534368935.291156,204346.417753268
436,E14000965,Stafford,391013,320185,-2.13466001,52.77917862,292008848.944532,116651.121151679
437,E14000966,Staffordshire Moorlands,400043,355243,-2.00079989,53.09440994,512463277.319697,125358.557739861
438,E14000967,Stalybridge and Hyde,398011,398062,-2.03143001,53.47929001,62987305.3718487,35580.8728879064
439,E14000968,Stevenage,524285,223238,-0.19523001,51.89384842,65083455.4121381,48358.4345959052
440,E14000969,Stockport,388819,390460,-2.16966009,53.41083908,21806373.5421379,27859.5361827511
441,E14000970,Stockton North,444937,523121,-1.30594003,54.60128021,119511511.921747,74482.0080309288
442,E14000971,Stockton South,443143,513821,-1.33506,54.51786041,86574714.0455659,56127.8089779413
443,E14000972,Stoke-on-Trent Central,389141,347318,-2.16333008,53.02305984,29576224.1470013,33583.4569613662
444,E14000973,Stoke-on-Trent North,387700,351970,-2.18499994,53.06483841,42432047.7154961,32919.8778076135
445,E14000974,Stoke-on-Trent South,390276,342227,-2.14626002,52.97731018,31872574.0862269,30823.5281297675
446,E14000975,Stone,388489,330561,-2.17245007,52.87240982,621171315.375619,197992.834061374
447,E14000976,Stourbridge,391209,284285,-2.13079,52.45645142,27154598.0365847,23948.1697341531
448,E14000977,Stratford-on-Avon,419834,253616,-1.71133006,52.18045044,670723041.448279,171863.62306282
449,E14000978,Streatham,530188,172431,-0.1284,51.43592072,10692952.7347472,16388.8415631674
450,E14000979,Stretford and Urmston,376790,394312,-2.35089993,53.44506836,44612660.0200275,33546.6917460827
451,E14000980,Stroud,382161,205282,-2.25977993,51.74594879,399838442.080041,129121.039676697
452,E14000981,Suffolk Coastal,635965,249452,1.44335997,52.09307861,774877309.03481,201279.98542934
453,E14000982,Sunderland Central,438940,556531,-1.39428997,54.90200043,29415142.0752654,31504.6736697555
454,E14000983,Surrey Heath,493294,162147,-0.66170001,51.35074997,110572364.416266,62364.2076612781
455,E14000984,Sutton and Cheam,524746,164092,-0.20958,51.36220169,19226870.5531715,22141.7652751736
456,E14000985,Sutton Coldfield,412968,296625,-1.81009996,52.56731033,58398733.5830271,36394.5183500792
457,E14000986,Tamworth,416920,302985,-1.75146997,52.6243782,180014944.429354,81477.4130004492
458,E14000987,Tatton,372677,375936,-2.41123009,53.27970123,331643603.739654,105658.54862674
459,E14000988,Taunton Deane,318327,123470,-3.16542006,51.00479126,462053910.445293,132203.313332805
460,E14000989,Telford,369255,307882,-2.45605993,52.66778183,50844038.7863874,33742.8522973932
461,E14000990,Tewkesbury,395051,226279,-2.07337999,51.93500137,363964401.325474,145392.372234025
462,E14000991,The Cotswolds,407586,216304,-1.89127004,51.84529114,1243571693.14551,291458.931490402
463,E14000992,The Wrekin,369695,319172,-2.45059991,52.76929855,344863708.558733,127164.863670974
464,E14000993,Thirsk and Malton,465689,478532,-0.9946,54.19836044,2147514822.94203,301908.49848206
465,E14000994,Thornbury and Yate,369237,185199,-2.44519997,51.56481934,396998566.912021,115652.231213307
466,E14000995,Thurrock,559439,180025,0.29550999,51.49668121,68215253.0503799,46842.7077323501
467,E14000996,Tiverton and Honiton,312313,107480,-3.24726009,50.86014175,905265565.470161,180399.856831643
468,E14000997,Tonbridge and Malling,561918,151566,0.31823799,51.2402916,303534811.85014,108464.721507969
469,E14000998,Tooting,527687,172670,-0.16428,51.43864059,10763124.1924547,14175.0633550354
470,E14000999,Torbay,290905,64048,-3.53851008,50.46606064,36418402.7169993,34023.5641831381
471,E14001000,Torridge and West Devon,244282,100555,-4.21034002,50.78358841,1711353289.2316,337337.995421686
472,E14001001,Totnes,279926,51138,-3.6890099,50.34785843,584100891.919854,174387.42095607
473,E14001002,Tottenham,532898,189292,-0.08309,51.5868187,13371906.4357981,16826.2149367072
474,E14001003,Truro and Falmouth,182689,51267,-5.05418015,50.32117081,450957930.85505,165224.634984554
475,E14001004,Tunbridge Wells,566713,140725,0.38183999,51.14151001,245013361.036162,104707.900131905
476,E14001005,Twickenham,514896,171607,-0.34856999,51.43181992,27834410.3005304,27152.5636715017
477,E14001006,Tynemouth,433254,571149,-1.48126996,55.03376007,37569006.2025393,31491.4346800058
478,E14001007,Uxbridge and South Ruislip,508041,183856,-0.44339001,51.54327011,30294982.6342244,28030.8747569098
479,E14001008,Vauxhall,530310,176643,-0.1251,51.47375107,8155734.4990668,14717.1358413934
480,E14001009,Wakefield,430382,416329,-1.54191995,53.64260864,79623814.2289242,49212.5163658514
481,E14001010,Wallasey,326806,391347,-3.10265994,53.41384125,23417062.6400003,25151.2396412943
482,E14001011,Walsall North,399391,300845,-2.01042008,52.60540009,26720182.6477518,26741.664892572
483,E14001012,Walsall South,401479,297306,-1.97959995,52.5735817,33218523.0102372,34035.8584595862
484,E14001013,Walthamstow,537216,189197,-0.02084,51.58493042,15682037.1864687,17529.2608336219
485,E14001014,Wansbeck,423326,585770,-1.63540006,55.16569901,138221088.86393,61339.1583812812
486,E14001015,Wantage,442287,190881,-1.39064002,51.61516953,586942082.007139,136294.134807417
487,E14001016,Warley,400825,287646,-1.98926997,52.48674011,19483039.5649662,19039.3251833239
488,E14001017,Warrington North,362731,392971,-2.5624001,53.43220901,89643047.8531429,52634.0705423513
489,E14001018,Warrington South,362664,384845,-2.56244993,53.35916901,89575791.5190008,55582.9597138641
490,E14001019,Warwick and Leamington,427748,263012,-1.59482002,52.26459122,88776687.4319695,50797.3873209157
491,E14001020,Washington and Sunderland West,431484,556783,-1.51052999,54.90478134,42521069.2624014,34541.981191017
492,E14001021,Watford,509752,198347,-0.41420001,51.67317963,37936576.5167752,33014.6976193867
493,E14001022,Waveney,643591,289401,1.58327496,52.44823837,251961138.552184,113907.62312143
494,E14001023,Wealden,552834,124884,0.176907,51.00304031,574471835.551357,167847.964674333
495,E14001024,Weaver Vale,357932,378463,-2.63268995,53.30144882,166860407.02972,89663.1743121776
496,E14001025,Wellingborough,491876,265617,-0.65464997,52.28104019,168776126.858021,79267.5537966254
497,E14001026,Wells,349692,146261,-2.72162008,51.21331024,560324458.144771,140140.264384121
498,E14001027,Welwyn Hatfield,525345,208467,-0.18517999,51.76087189,114985965.818445,65799.8226230896
499,E14001028,Wentworth and Dearne,442975,399603,-1.35373998,53.49140167,90317028.2970268,66652.9944572157
500,E14001029,West Bromwich East,402098,293072,-1.97048998,52.53551865,27215439.8060441,26418.2649435215
501,E14001030,West Bromwich West,397511,292210,-2.03811002,52.527771,29320811.7370892,27065.9283282386
502,E14001031,West Dorset,357765,99663,-2.60061002,50.79497147,1031984928.62123,226484.663251844
503,E14001032,West Ham,539774,183149,0.013655,51.52994919,16773541.4096271,17411.4653698154
504,E14001033,West Lancashire,342047,408082,-2.87649012,53.56613922,264203048.414395,86058.3615972866
505,E14001034,West Suffolk,580944,275380,0.65505701,52.34664917,818730503.845286,247319.398977147
506,E14001035,West Worcestershire,380454,250018,-2.28706002,52.14810944,710192985.630763,242894.948690661
507,E14001036,Westminster North,525949,182218,-0.18587001,51.52484131,7293533.56887731,13934.9773227059
508,E14001037,Westmorland and Lonsdale,352958,492385,-2.72478008,54.32485962,1351641862.0125,206850.737288923
509,E14001038,Weston-Super-Mare,338994,160991,-2.87728,51.3447113,143738728.606311,70735.1049476335
510,E14001039,Wigan,357776,408202,-2.63902998,53.5687294,60298938.0200652,33401.2523333973
511,E14001040,Wimbledon,524128,170000,-0.21639,51.41542816,20720737.708989,17800.3578740532
512,E14001041,Winchester,451629,135559,-1.26374996,51.11698914,320276942.382743,107072.870793903
513,E14001042,Windsor,490470,171462,-0.69986999,51.43494034,147235508.166345,79489.3402851332
514,E14001043,Wirral South,330364,382283,-3.04713988,53.33287048,60931630.8670404,40034.5597614673
515,E14001044,Wirral West,324738,386733,-3.13265991,53.37208939,47715038.7037899,30281.722236596
516,E14001045,Witham,586792,214917,0.70773798,51.80168915,372480677.690656,135021.31776799
517,E14001046,Witney,434343,215816,-1.50292003,51.83990097,714031192.172394,132248.869217437
518,E14001047,Woking,496149,155762,-0.62243998,51.29288101,96098396.8905551,58313.9052103053
519,E14001048,Wokingham,470404,168144,-0.98913997,51.40795898,155635557.285836,74066.1617467035
520,E14001049,Wolverhampton North East,393362,301509,-2.09945011,52.61132813,23786306.6088823,23336.2098861549
521,E14001050,Wolverhampton South East,393533,296490,-2.09682989,52.5662117,24642313.6322015,21430.8447676067
522,E14001051,Wolverhampton South West,389010,298671,-2.16363001,52.58573914,22949991.6209422,21461.2831699848
523,E14001052,Worcester,385725,255196,-2.2102499,52.1948204,34532078.8893044,23906.9716881456
524,E14001053,Workington,317334,543173,-3.28667998,54.77664185,679886610.69168,196392.254742999
525,E14001054,Worsley and Eccles South,372907,399589,-2.40982008,53.49232101,61654951.3837291,45531.5950853544
526,E14001055,Worthing West,511068,104626,-0.42423001,50.83050919,27672603.7681902,33674.7794160499
527,E14001056,Wycombe,479280,190191,-0.85659999,51.60498047,142631305.881885,68384.6608131185
528,E14001057,Wyre and Preston North,351597,440598,-2.73740005,53.8593483,267249853.730086,112382.778470205
529,E14001058,Wyre Forest,384106,276388,-2.23494005,52.38529968,196196712.412293,82043.4435907572
530,E14001059,Wythenshawe and Sale East,380730,389917,-2.29132009,53.4057312,35095104.5618248,34158.1319710028
531,E14001060,Yeovil,340522,114840,-2.84770989,50.9299202,401954706.12358,119478.56080781
532,E14001061,York Central,459887,451276,-1.08889997,53.95412827,23173111.0251554,26270.9600531109
533,E14001062,York Outer,461058,457909,-1.06973004,54.0135994,251794640.870298,112336.765321547
534,S14000001,Aberdeen North,389796,808947,-2.17038012,57.17123032,47272688.6309603,40371.4185298911
535,S14000002,Aberdeen South,384133,802600,-2.26362991,57.11405182,83012911.7500004,57426.231474444
536,S14000003,Airdrie and Shotts,283330,662650,-3.86474991,55.84289932,230365867.74512,78050.6332576586
537,S14000004,Angus,344353,761976,-2.91144991,56.74605942,1985775216.58019,239315.457747029
538,S14000005,Argyll and Bute,200740,715442,-5.22113991,56.28942871,6971683833.04998,2204341.86154875
539,S14000006,"Ayr, Carrick and Cumnock",238951,603944,-4.53852987,55.30316925,1624100281.55516,250639.799754272
540,S14000007,Banff and Buchan,386375,849383,-2.2292099,57.53435898,1592983714.01533,224433.030875671
541,S14000008,"Berwickshire, Roxburgh and Selkirk",356199,624537,-2.69513988,55.51261139,3843079511.53821,389751.50906025
542,S14000009,"Caithness, Sutherland and Easter Ross",258617,918473,-4.40269995,58.13249969,8635376369.07082,904321.022719029
543,S14000010,Central Ayrshire,238948,628173,-4.55256987,55.5206604,232007042.938158,99804.0280163766
544,S14000011,"Coatbridge, Chryston and Bellshill",269133,669782,-4.09475994,55.90328979,80450870.7479056,59017.4794141974
545,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",268306,677738,-4.1118598,55.97449875,190435996.604373,86864.2349257106
546,S14000013,Dumfries and Galloway,252742,567858,-4.30275011,54.98348999,3998359591.07417,517931.973671701
547,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",305399,610681,-3.49460006,55.38095093,4298025352.19584,442873.256538195
548,S14000015,Dundee East,347896,736729,-2.8484199,56.51969147,152694815.376434,66263.5038479466
549,S14000016,Dundee West,333100,735387,-3.08850002,56.50576019,116551246.126392,53658.0206929605
550,S14000017,Dunfermline and West Fife,304851,688767,-3.53045011,56.0821991,224883886.186889,84845.9556123965
551,S14000018,East Dunbartonshire,256840,674119,-4.29350996,55.93872833,85554598.8754163,55944.8566033925
552,S14000019,"East Kilbride, Strathaven and Lesmahagow",268907,644910,-4.08639002,55.67990875,407851765.329121,126174.601133627
553,S14000020,East Lothian,354854,672351,-2.72434998,55.94207001,679228760.245039,140653.849728967
554,S14000021,East Renfrewshire,251929,653115,-4.36059999,55.74868011,175642687.185282,75221.5140681431
555,S14000022,Edinburgh East,328720,672753,-3.14277005,55.9425087,25494396.9658365,23553.5408011091
556,S14000023,Edinburgh North and Leith,324819,675786,-3.20605993,55.96915054,20029835.3427282,24365.3559565166
557,S14000024,Edinburgh South,326643,669657,-3.17516994,55.91437912,28885750.1443562,23194.1926682372
558,S14000025,Edinburgh South West,318312,666474,-3.30746007,55.88444901,90280477.9351248,51199.8641190048
559,S14000026,Edinburgh West,316926,673573,-3.33178997,55.94797134,99077389.1770709,55525.6480796508
560,S14000027,Na h-Eileanan an Iar,126473,932862,-6.65721989,58.19937897,3045370415.76401,1643895.47474704
561,S14000028,Falkirk,283492,683752,-3.87127995,56.03242874,177370564.679239,78984.4961500492
562,S14000029,Glasgow Central,257847,663263,-4.27169991,55.84157181,20706358.7676934,24993.9973357078
563,S14000030,Glasgow East,265327,664585,-4.15299988,55.85557938,39908788.0039713,30684.3051358779
564,S14000031,Glasgow North,256777,668773,-4.29167986,55.89072037,17160747.5022743,21646.2172904187
565,S14000032,Glasgow North East,261760,668310,-4.21184015,55.88801956,28027099.8728863,25640.4124676061
566,S14000033,Glasgow North West,253175,669165,-4.34943008,55.89315033,18487626.1218258,20332.5723756976
567,S14000034,Glasgow South,258684,660035,-4.25665998,55.81283188,25223626.4886649,27056.0012093319
